121 180
1 1 2
2 1 3
3 1 4
4 2 12
5 2 65
6 2 75
7 3 5
8 3 6
9 3 10
10 4 8
11 4 9
12 4 13
13 5 25
14 5 26
15 5 99
16 6 7
17 6 21
18 6 38
19 7 11
20 8 15
21 8 23
22 8 60
23 9 16
24 9 59
25 9 110
26 10 19
27 10 53
28 10 71
29 11 18
30 12 14
31 12 17
32 12 20
33 13 33
34 13 44
35 13 78
36 14 32
37 14 34
38 14 66
39 15 22
40 15 30
41 15 39
42 16 28
43 17 19
44 17 24
45 17 51
46 18 33
47 18 61
48 18 73
49 19 83
50 20 58
51 20 76
52 21 46
53 21 69
54 21 106
55 22 56
56 22 77
57 22 97
58 23 27
59 23 29
60 23 35
61 24 25
62 25 85
63 25 101
64 26 77
65 27 90
66 28 37
67 29 31
68 30 37
69 30 42
70 31 96
71 32 43
72 32 48
73 33 36
74 33 41
75 33 45
76 34 55
77 35 48
78 35 64
79 36 43
80 37 100
81 38 47
82 38 72
83 38 95
84 39 40
85 39 54
86 40 74
87 41 116
88 42 75
89 43 49
90 43 77
91 44 91
92 45 71
93 46 57
94 46 70
95 47 58
96 48 78
97 49 50
98 49 52
99 50 110
100 51 67
101 51 91
102 51 98
103 52 63
104 53 54
105 54 88
106 55 62
107 55 105
108 56 59
109 56 103
110 57 121
111 58 87
112 59 80
113 59 113
114 60 71
115 61 68
116 61 111
117 62 67
118 63 74
119 64 109
120 65 93
121 66 106
122 67 79
123 68 93
124 69 104
125 70 95
126 70 98
127 71 81
128 72 84
129 72 86
130 73 79
131 73 94
132 73 115
133 74 87
134 74 91
135 74 98
136 75 112
137 76 112
138 77 86
139 78 112
140 79 82
141 79 113
142 80 89
143 81 103
144 82 102
145 83 118
146 84 114
147 85 108
148 86 92
149 87 105
150 88 90
151 89 107
152 90 100
153 91 102
154 92 117
155 93 100
156 94 118
157 95 118
158 96 99
159 97 107
160 98 114
161 99 103
162 100 119
163 101 111
164 102 107
165 103 105
166 104 115
167 105 115
168 106 109
169 107 116
170 108 121
171 109 119
172 110 113
173 111 119
174 112 116
175 113 117
176 114 120
177 115 120
178 116 117
179 117 121
180 118 120
1 8
	0 98 31 184
	1 91 24 202
	2 91 26 188
	3 91 29 181
	4 80 22 186
	5 88 17 215
	6 90 33 157
	7 94 13 249
2 4
	8 95 42 485
	9 98 47 485
	10 83 38 447
	11 86 57 375
3 8
	12 90 17 220
	13 92 19 211
	14 99 30 180
	15 93 21 211
	16 84 26 170
	17 83 13 222
	18 94 15 231
	19 97 32 172
4 8
	20 98 13 182
	21 81 20 130
	22 86 24 123
	23 81 18 132
	24 86 17 151
	25 87 15 156
	26 95 12 188
	27 92 25 128
5 8
	28 94 48 352
	29 88 60 280
	30 91 40 368
	31 95 24 445
	32 89 32 396
	33 99 56 332
	34 92 52 332
	35 86 28 404
6 5
	36 95 25 248
	37 91 31 214
	38 88 23 240
	39 95 18 276
	40 81 20 238
7 4
	41 92 59 340
	42 80 25 417
	43 86 51 336
	44 95 42 417
8 5
	45 80 29 175
	46 87 36 165
	47 98 17 275
	48 80 34 158
	49 87 31 185
9 6
	50 88 41 291
	51 99 45 308
	52 99 34 346
	53 97 24 384
	54 89 48 256
	55 84 31 312
10 7
	56 85 18 250
	57 93 36 201
	58 85 15 263
	59 91 20 266
	60 93 25 242
	61 80 23 217
	62 92 28 235
11 6
	63 90 25 140
	64 90 16 172
	65 97 17 181
	66 96 21 163
	67 97 14 188
	68 94 23 149
12 4
	69 99 10 144
	70 81 7 133
	71 96 9 143
	72 99 18 111
13 7
	73 97 38 508
	74 86 71 318
	75 88 52 403
	76 91 61 389
	77 91 28 508
	78 83 66 318
	79 86 47 422
14 4
	80 91 11 106
	81 96 14 95
	82 98 7 126
	83 88 6 118
15 6
	84 99 27 376
	85 90 44 266
	86 81 30 304
	87 83 51 225
	88 98 34 349
	89 87 47 253
16 8
	90 98 16 258
	91 94 13 254
	92 85 18 212
	93 94 34 178
	94 97 25 215
	95 85 22 199
	96 93 27 194
	97 92 20 228
17 4
	98 93 58 299
	99 85 46 307
	100 91 35 369
	101 90 54 292
18 7
	102 84 18 160
	103 81 13 175
	104 91 11 199
	105 85 16 171
	106 99 14 203
	107 80 26 119
	108 80 22 141
19 6
	109 82 44 365
	110 88 49 383
	111 90 58 352
	112 86 62 330
	113 94 40 455
	114 93 35 450
