121 180
1 1 2
2 1 3
3 1 4
4 2 5
5 2 6
6 2 29
7 3 25
8 4 7
9 4 62
10 5 8
11 6 11
12 6 28
13 6 30
14 7 9
15 7 14
16 7 19
17 8 10
18 8 12
19 8 15
20 9 16
21 9 75
22 9 83
23 10 13
24 10 18
25 10 22
26 11 54
27 11 100
28 11 101
29 12 37
30 12 69
31 13 20
32 13 21
33 13 31
34 14 23
35 14 32
36 14 38
37 15 26
38 16 17
39 16 27
40 17 24
41 17 47
42 17 60
43 18 31
44 19 42
45 19 55
46 19 82
47 20 43
48 21 96
49 22 57
50 22 86
51 22 114
52 23 35
53 23 96
54 24 40
55 24 80
56 25 31
57 26 45
58 26 70
59 26 112
60 27 36
61 27 73
62 28 110
63 29 74
64 30 34
65 30 85
66 31 52
67 31 53
68 32 33
69 32 39
70 32 49
71 33 41
72 34 59
73 34 63
74 34 94
75 35 44
76 36 76
77 36 91
78 37 50
79 38 51
80 38 115
81 39 90
82 39 93
83 40 64
84 41 66
85 41 104
86 42 46
87 42 81
88 43 48
89 43 56
90 43 57
91 44 79
92 44 97
93 44 119
94 45 87
95 46 120
96 47 51
97 48 54
98 49 111
99 50 105
100 51 107
101 52 58
102 53 78
103 54 60
104 54 61
105 55 67
106 55 68
107 55 72
108 56 103
109 57 91
110 58 102
111 59 79
112 60 74
113 61 65
114 61 71
115 62 82
116 63 104
117 63 118
118 64 89
119 65 106
120 66 111
121 67 87
122 68 85
123 68 108
124 69 84
125 70 81
126 71 77
127 71 92
128 71 98
129 72 84
130 73 86
131 74 95
132 74 121
133 75 111
134 76 87
135 77 81
136 78 107
137 78 113
138 79 107
139 80 93
140 81 99
141 82 90
142 83 106
143 84 88
144 85 95
145 86 102
146 86 117
147 87 88
148 88 108
149 89 105
150 89 108
151 90 101
152 91 109
153 92 113
154 93 115
155 94 104
156 95 103
157 96 109
158 97 120
159 98 102
160 99 116
161 100 103
162 101 112
163 102 119
164 103 117
165 104 105
166 105 114
167 106 115
168 106 119
169 107 110
170 108 114
171 109 113
172 110 112
173 111 121
174 112 118
175 113 116
176 114 116
177 115 117
178 116 121
179 117 118
180 118 120
1 8
	0 93 43 405
	1 90 52 357
	2 81 39 370
	3 98 34 475
	4 87 65 309
	5 92 47 401
	6 84 61 305
	7 89 56 340
2 4
	8 92 19 186
	9 88 15 188
	10 85 21 159
	11 93 11 215
3 7
	12 90 21 306
	13 81 39 216
	14 97 18 345
	15 89 30 273
	16 84 27 273
	17 91 36 252
	18 92 42 231
4 8
	19 96 30 478
	20 98 47 426
	21 86 56 339
	22 91 43 408
	23 89 34 430
	24 82 60 287
	25 85 52 348
	26 87 26 448
5 4
	27 82 18 77
	28 96 9 129
	29 90 17 91
	30 80 13 94
6 7
	31 82 42 207
	32 88 21 310
	33 86 39 228
	34 96 45 231
	35 94 30 286
	36 99 33 286
	37 99 24 322
7 6
	38 98 41 494
	39 97 69 368
	40 98 51 447
	41 92 55 396
	42 83 32 461
	43 86 37 447
8 6
	44 81 29 158
	45 80 17 203
	46 84 22 194
	47 82 24 183
	48 90 26 187
	49 88 13 241
9 8
	50 99 42 329
	51 98 35 354
	52 96 38 333
	53 87 24 357
	54 96 49 284
	55 94 31 343
	56 95 21 396
	57 87 28 333
10 5
	58 89 33 358
	59 80 29 336
	60 98 37 381
	61 82 52 254
	62 93 44 317
11 8
	63 80 17 225
	64 97 21 255
	65 86 14 252
	66 90 26 218
	67 90 34 187
	68 91 31 194
	69 99 29 221
	70 94 19 257
12 6
	71 80 42 356
	72 89 34 433
	73 99 55 382
	74 91 38 416
	75 81 51 330
	76 93 47 399
13 7
	77 83 49 215
	78 98 29 344
	79 82 36 268
	80 87 43 258
	81 83 26 307
	82 92 33 304
	83 99 23 367
14 6
	84 89 10 108
	85 80 13 82
	86 81 11 92
	87 90 14 93
	88 81 12 89
	89 99 8 127
15 4
	90 83 20 207
	91 94 25 214
	92 82 29 164
	93 96 34 173
16 5
	94 88 68 315
	95 88 59 357
	96 84 64 320
	97 84 32 444
	98 95 50 430
17 7
	99 88 19 331
	100 85 47 216
	101 85 31 276
	102 98 35 299
	103 92 22 334
	104 95 41 264
	105 95 28 318
18 5
	106 95 33 278
	107 93 42 242
	108 81 30 257
	109 88 45 217
	110 95 18 344
19 6
	111 90 22 288
	112 85 31 239
	113 97 34 253
	114 88 28 251
