91 135
1 1 2
2 1 3
3 1 4
4 2 11
5 2 24
6 3 7
7 3 8
8 3 15
9 4 5
10 4 6
11 4 19
12 5 10
13 5 30
14 5 91
15 6 9
16 6 22
17 6 26
18 7 23
19 7 27
20 8 42
21 9 17
22 9 25
23 9 61
24 10 13
25 10 52
26 11 12
27 11 29
28 11 45
29 12 14
30 12 16
31 12 18
32 13 83
33 14 56
34 15 20
35 15 35
36 15 36
37 16 38
38 17 65
39 18 21
40 18 47
41 18 66
42 19 71
43 20 28
44 20 33
45 21 32
46 21 57
47 21 88
48 22 63
49 23 34
50 23 70
51 24 31
52 24 47
53 24 67
54 25 70
55 26 37
56 26 39
57 26 54
58 27 49
59 28 41
60 28 63
61 28 77
62 29 44
63 30 85
64 31 82
65 32 51
66 32 71
67 33 52
68 33 53
69 33 78
70 34 73
71 35 55
72 36 40
73 36 43
74 36 48
75 37 46
76 37 61
77 38 82
78 39 59
79 40 63
80 41 73
81 41 76
82 41 86
83 42 50
84 43 77
85 44 58
86 45 68
87 46 90
88 47 54
89 48 50
90 49 68
91 50 87
92 51 72
93 52 61
94 53 81
95 54 84
96 55 62
97 56 60
98 56 69
99 56 80
100 57 79
101 58 59
102 58 76
103 59 85
104 60 72
105 60 74
106 61 74
107 62 64
108 63 70
109 64 75
110 65 85
111 66 79
112 67 86
113 68 78
114 69 73
115 69 83
116 70 72
117 71 78
118 72 81
119 72 90
120 73 90
121 74 79
122 75 80
123 76 83
124 77 86
125 78 84
126 79 87
127 80 82
128 81 91
129 82 89
130 83 88
131 84 91
132 85 87
133 86 88
134 87 89
135 88 89
1 8
	0 82 23 400
	1 87 55 281
	2 81 39 337
	3 88 31 396
	4 98 59 309
	5 97 35 408
	6 84 43 333
	7 98 27 436
2 8
	8 99 18 192
	9 98 14 199
	10 84 13 179
	11 96 11 210
	12 95 26 151
	13 85 22 143
	14 80 27 117
	15 90 16 175
3 8
	16 88 27 398
	17 99 50 355
	18 86 23 402
	19 95 46 347
	20 94 54 320
	21 84 39 328
	22 93 31 398
	23 81 43 316
4 5
	24 85 15 82
	25 92 11 105
	26 97 17 89
	27 90 12 98
	28 90 7 119
5 4
	29 98 18 351
	30 85 24 296
	31 84 33 244
	32 91 45 220
6 4
	33 88 22 273
	34 84 36 214
	35 99 39 234
	36 96 33 248
7 7
	37 88 30 380
	38 94 34 380
	39 83 22 380
	40 96 41 353
	41 89 26 391
	42 98 53 315
	43 93 57 281
8 7
	44 93 19 370
	45 82 26 304
	46 82 29 290
	47 88 23 343
	48 95 36 300
	49 89 33 297
	50 93 49 247
9 6
	51 80 13 94
	52 82 14 94
	53 87 7 127
	54 98 10 127
	55 97 8 134
	56 94 18 92
10 6
	57 96 13 157
	58 89 15 140
	59 89 9 163
	60 90 20 126
	61 84 17 126
	62 95 18 134
11 7
	63 94 57 359
	64 87 43 395
	65 90 65 307
	66 97 61 364
	67 82 30 430
	68 97 26 500
	69 87 39 403
12 6
	70 95 17 331
	71 99 20 337
	72 85 32 248
	73 84 41 210
	74 94 38 248
	75 92 26 289
13 7
	76 87 43 295
	77 88 21 386
	78 88 54 262
	79 93 51 288
	80 92 36 342
	81 89 47 284
	82 95 25 394
14 7
	83 88 38 301
	84 90 20 377
	85 92 24 374
	86 89 34 311
	87 94 48 270
	88 86 45 270
	89 88 31 329
15 5
	90 84 20 129
	91 92 25 127
	92 97 10 196
	93 87 13 161
	94 97 15 169
16 5
	95 80 19 219
	96 97 16 267
	97 92 24 226
	98 82 21 210
	99 94 36 178
17 4
	100 92 26 249
	101 96 37 212
	102 83 21 249
	103 83 29 220
18 5
	104 94 9 144
	105 91 12 130
	106 81 15 106
	107 86 20 91
	108 99 13 139
19 4
	109 84 36 184
	110 90 31 220
	111 95 15 288
	112 81 18 249
20 6
	113 83 37 238
	114 97 21 347
	115 86 40 241
	116 80 30 254
	117 81 24 278
	118 84 18 309
21 7
	119 96 19 298
	120 93 22 287
	121 96 30 262
	122 80 16 276
	123 89 38 210
	124 87 24 262
	125 94 41 210
22 6
	126 81 18 115
	127 97 21 131
	128 98 20 134
	129 83 12 145
	130 87 14 143
	131 85 15 135
23 4
	132 92 38 481
	133 96 42 486
	134 83 57 362
	135 87 52 400
24 5
	136 87 36 173
	137 95 21 248
	138 83 34 170
	139 90 29 209
	140 87 14 253
25 4
	141 90 14 216
